ORGAN_CODE,TOP_CODE,TOP_ORGAN,FULL_ORGAN,LWST_ORGAN,REGION,EXPEN_PUBLIC_ORDER,EXPEN_TRAFFIC,EXPEN_TOTAL,EXPEN_GOVERN,EXPEN_INSTITU,EXPEN_EDU,TOTAL_POPULATION,TOTAL_HOUSE,COASTLINE,TOTAL_AREA,FOREST_AREA,ARABLE_AREA,ROAD_AREA,WATER_FACILITY,RESTORATION_FACILITY,ACCOM_FACILITY,ETC_FACILITY,EXPEN_DMG_STORM,CNT_DISPATCH,TOTAL_RESCUE,FIRE_RESCUE,MNTN_RESCUE,CNT_FIRE,FIRE_AREA,EXPEN_FIRE
5690000,5690000,Sejong,Sejong,Sejong,CCA,0.095642395,0.024248045,0.065611864,0.043859748,0.005503828,0.095011783,0.034364115,0.042104039,0.00E+00,0.12959361,1.56E-01,0.156334147,0.250132876,0.209769591,0.306501087,0.318129025,0.191400586,0.01861082,0.045589522,0.054546466,0.040282686,0.010793308,0.034859989,0.007538664,0.104739598
6110000,6110000,Seoul,Seoul,Seoul,MPA,1,1,1,1,1,1,1,1,0.00E+00,0.007008404,9.64E-02,0.096402597,0.326089637,0.89114528,0.04920577,0.804177402,0.881107172,0.031490859,1,1,1,1,1,0.00436247,0.914455323
6260000,6260000,Busan,Busan,Busan,YNA,0.392048217,0.416182119,0.330012239,0.354803001,0.277009994,0.437955461,0.351105151,0.431386006,2.08E-01,0.091946276,2.20E-01,0.219732239,0.415308129,0.653053034,0.310785274,0.679542569,5.84E-01,0.360813732,0.251725811,0.339907096,0.097526502,0.269832704,0.400930688,0.100460111,0.138956711
6270000,6270000,Daegu,Daegu,Daegu,YNA,0.452009991,0.203075025,0.229574349,0.23211106,0.16928079,0.34157452,0.250182968,0.27939624,0.00E+00,0.127992551,3.04E-01,0.304112037,0.476749865,0.665942336,0.327807489,0.702066452,0.434388752,0.101955871,0.181776963,0.274874134,0.368904594,0.218024825,0.199036656,0.009584265,0.148443925
6280000,6280000,Incheon,Incheon,Incheon,MPA,0.454273346,0.248763854,0.290231292,0.313997482,0.502201421,0.382054569,0.305038452,0.340258259,5.49E-01,0.310138668,2.48E-01,0.247709943,0.574565128,0.926878487,0.707517117,0.777337228,6.71E-01,0.125322508,0.203205124,0.351200245,0.462190813,0.143550998,0.254633031,0.048377834,0.502917521
6290000,6290000,Gwangju,Gwangju,Gwangju,HNA,0.246767408,0.142439909,0.141943207,0.14374406,0.069917478,0.224785978,0.149319885,0.180754251,0.00E+00,0.157831044,1.19E-01,0.119183632,0.269744273,0.450796636,0.368725792,0.4386812,3.60E-01,0.367928836,0.117981008,0.20316542,0.067137809,0.29735564,0.139113397,0.006791883,0.065954031
6300000,6300000,Daejeon,Daejeon,Daejeon,CCA,0.234150868,0.096140228,0.133943766,0.161041133,0.072652611,0.212535678,0.151512224,0.169272844,0.00E+00,0.064393029,1.87E-01,0.18725621,0.290536476,0.441564995,0.141592459,0.50501589,0.397508308,0,0.09767678,0.147867931,0.161130742,0.10577442,0.160992734,0.004493207,0.08101779
6310000,6310000,Ulsan,Ulsan,Ulsan,YNA,0.235952765,0.078098079,0.104421627,0.110322262,0.053495657,0.183738296,0.117106003,0.133534951,7.66E-02,0.16885882,4.28E-01,0.427819161,0.573248451,0.520869135,0.459627993,0.580615913,0.291826145,0.149615936,0.118284342,0.517315235,0.098939929,0.143550998,0.132582252,0.010174852,0.598241042
6500000,6500000,Jeju-do,Jeju-do,Jeju-do,JJA,0.581186481,0.130778801,0.260575048,0.17521002,0.065701401,0.111785006,0.068537288,0.090325988,2.92E-01,1,0.549450135,0.549450135,1,1.00E+00,0.730663842,0.676204429,1,0.104595756,0.090821429,0.076687714,0.024028269,0.066918511,0.101477672,0.010127613,0.055964485
3000000,6110000,Seoul,Seoul Jongno-gu,Jongno-gu,MPA,0.003352557,0.006445764,0.01399522,0.011684808,0.001832747,0,0.014476283,0.015524508,0.00E+00,0,0.006014546,0.006014546,0.01141432,0.018425307,0,1.06E-02,0.020828628,0.000139509,0.036610832,0.026007621,0.028268551,0.087965461,0.039676708,0.00014068,0.01106685
3010000,6110000,Seoul,Seoul Jung-gu,Jung-gu,MPA,0.011305785,0.005413066,0.014068292,0.008783189,0.003003871,0,0.0119066,0.012848445,0.00E+00,0,0.000949996,0.000949996,0.003861431,0.015843327,0.00E+00,0.007897779,0.011832782,0,0.029318041,0.032433034,0.041696113,0.001618996,0.039839987,0.000446713,6.06E-01
3020000,6110000,Seoul,Seoul Yongsan-gu,Yongsan-gu,MPA,0.005063648,0.006771431,0.014822457,0.008563209,0.002150737,0,0.022488119,0.024451979,0.00E+00,0,0.001132446,0.001132446,0.010306362,0.019730572,0,0.042840434,0.041297492,0,3.29E-02,0.033295319,0.027561837,0,0.036656054,5.08E-05,5.33E-03
3030000,6110000,Seoul,Seoul Seongdong-gu,Seongdong-gu,MPA,0.006852064,0.005765168,0.020786354,0.011720404,0.003224846,0,0.029672506,0.029121101,0.00E+00,0,0.000333442,0.000333442,0.00759608,1.71E-02,9.03E-05,0.033845827,0.028766144,5.76E-05,0.027750283,0.033796,0.019081272,0,0.033145563,7.46E-05,0.010784489
3040000,6110000,Seoul,Seoul Gwangjin-gu,Gwangjin-gu,MPA,0.011208909,0.003089519,0.020714379,0.013272117,0.002224996,0,0.035099633,0.029450156,0.00E+00,0,0.001855953,0.001855953,0.007706353,0.019810403,4.86E-05,0.025496118,0.024228032,0,0.029190321,0.037606743,0.07844523,0.031840259,0.032492448,0.000109966,0.0084569
3050000,6110000,Seoul,Seoul Dongdaemun-gu,Dongdaemun-gu,MPA,0.012085274,0.006516473,0.024780866,0.013793337,0.001398908,0,0.034634503,0.034440752,0.00E+00,0,0.000717216,0.000717216,0.006164891,0.021430354,6.69E-05,0.01611617,0.041074432,0.000197366,0.039602664,0.034129788,0.025441696,0.003777658,0.032492448,0.000163144,1.27E-02
3060000,6110000,Seoul,Seoul Jungnang-gu,Jungnang-gu,MPA,0.011854031,0.005381931,0.029523857,0.01484001,0.00149898,0,0.040058245,0.036634829,0.00E+00,0,0.003277802,0.003277802,0.008481862,0.023235823,0.001788107,0.019833712,0.024015628,0.00011513,0.035020723,0.027537482,0.036042403,0.017808958,0.037880643,8.54E-05,0.004216839
3070000,6110000,Seoul,Seoul Seongbuk-gu,Seongbuk-gu,MPA,0.007206912,0.005652884,0.030676542,0.01661404,0.003511919,0,0.044286607,0.045822614,0.00E+00,0,0.005838387,0.005838387,0.011772589,2.25E-02,0.000235462,0.014703727,0.04442687,0.007624191,0.037603852,0.022419404,0.017667845,0.025364274,0.033145563,0.000125139,7.66E-03
3080000,6110000,Seoul,Seoul Gangbuk-gu,Gangbuk-gu,MPA,0.010449011,0.005913888,0.02525328,0.014989225,0.00173685,0,0.031123749,0.032474291,0.00E+00,0,0.007983743,0.007983743,0.011245057,0.014177413,0.00013655,0.008444021,0.013170864,0.00510998,0.031897978,0.023226058,0.01130742,0.084727469,0.030206547,6.66E-05,0.003497273
3090000,6110000,Seoul,Seoul Dobong-gu,Dobong-gu,MPA,0.001303938,0.005349865,0.024001418,0.012802635,0.001719526,0,0.033071243,0.03422634,0.00E+00,0,0.006228452,0.006228452,0.009653229,0.015119408,0.000577376,0.011052587,0.021174587,0.002165045,0.029535164,0.073822703,0.096113074,0.146249325,0.033961956,0.000177433,0.007804489
3100000,6110000,Seoul,Seoul Nowon-gu,Nowon-gu,MPA,0.144870039,0.004931352,0.041530933,0.023305307,0.002513528,0,0.053753209,0.060142524,0.00E+00,0,0.01031784,0.01031784,0.017652862,0.023604753,0.000840008,0.022021985,0.09290951,0.003118937,0.042367794,0.051570193,0.058657244,0.092282785,0.035268185,0.000184357,0.004157063
3110000,6110000,Seoul,Seoul Eunpyeong-gu,Eunpyeong-gu,MPA,0.004048721,0.004395354,0.033234654,0.016793826,0.001115529,0,0.048591461,0.04893004,0.00E+00,0,0.008902283,0.008902283,0.014552259,0.02436084,0.00175023,0.016199566,0.019358339,0.005682507,0.0431852,0.039887625,2.69E-02,0.210469509,0.03347212,0.000591591,2.28E-02
3120000,6110000,Seoul,Seoul Seodaemun-gu,Seodaemun-gu,MPA,0.002146602,0.005232873,0.021494892,0.012268749,0.001070457,0,0.031077895,0.0319144,0.00E+00,0,0.003516873,0.003516873,0.008011021,0.015999563,1.99E-05,0.010940113,0.057030274,0.001099221,3.11E-02,0.03073628,0.024028269,0.023745278,0.04065638,7.33E-05,0.065162748
3130000,6110000,Seoul,Seoul Mapo-gu,Mapo-gu,MPA,0.01180266,0.006495739,0.024084968,0.014916934,0.002591503,0,0.03753053,0.039389847,0.00E+00,0,0.000465561,0.000465561,0.011380718,0.03113199,0.000459848,0.050699468,0.029484178,4.93E-05,0.045429872,0.050207227,0.021201413,0.001618996,0.040819659,0.000136113,5.44E-03
3140000,6110000,Seoul,Seoul Yangcheon-gu,Yangcheon-gu,MPA,0.010180117,0.004501662,0.027904876,0.016213813,0.00170099,0,0.046277676,0.045163219,0.00E+00,0,0.001780457,0.001780457,0.007892064,0.026686633,5.99E-05,0.018930401,0.02683957,0.000904596,0.032360961,0.027398403,0.018374558,0.002698327,0.031186219,5.72E-05,0.006624441
3150000,6110000,Seoul,Seoul Gangseo-gu,Gangseo-gu,MPA,0.002808772,0.006829027,0.040217006,0.023475656,0.001783347,0,0.059716984,0.062456447,0.00E+00,0,0.002447341,0.002447341,0.020901707,0.037646986,0.021438462,0.047372587,0.032424599,0.002113465,0.051624274,0.034407944,0.021908127,0.002158662,0.058290473,0.000199161,8.53E-03
3160000,6110000,Seoul,Seoul Guro-gu,Guro-gu,MPA,0.007149777,0.005229361,0.028010994,0.017594134,0.001811426,0,0.040793279,0.041841251,0.00E+00,0,0.002183104,0.002183104,0.009361004,0.023908117,1.56E-03,0.023646596,0.041647658,0.000400215,0.03731329,0.038886262,0.024028269,0.004856989,0.041636052,9.45E-05,5.24E-03
3170000,6110000,Seoul,Seoul Geumcheon-gu,Geumcheon-gu,MPA,0.010613862,0.001795349,0.017479451,0.009152587,0.001596278,0,0.023102846,0.021575797,0.00E+00,0,0.002013237,0.002013237,0.005517969,0.014476483,9.33E-05,0.012082491,0.011028451,0.00E+00,0.025480066,0.024894996,0.039575972,0.024284943,0.025226549,8.30E-05,0.007045134
3180000,6110000,Seoul,Seoul Yeongdeungpo-gu,Yeongdeungpo-gu,MPA,0.013815608,0.006499195,0.025316438,0.013895164,0.002539596,0,0.037643445,0.034289684,0.00E+00,0,2.52E-05,2.52E-05,0.011758122,0.039915446,1.66E-04,0.06646947,0.020332699,0.000767536,0.05722478,0.098856777,0.126501767,0,0.042697363,0.000163733,3.06E-02
3190000,6110000,Seoul,Seoul Dongjak-gu,Dongjak-gu,MPA,0.000727227,0.002557668,0.023735668,0.014162279,0.00192539,0,0.039537746,0.037880671,0.00E+00,0,0.002346679,0.002346679,0.007322768,0.018185781,0.000135678,0.01338729,0.026408084,0.000383768,0.032405663,0.030346861,0.016254417,0.008634647,0.033717038,4.68E-05,0.003960138
3200000,6110000,Seoul,Seoul Gwanak-gu,Gwanak-gu,MPA,0.006187285,0.007686093,0.030950182,0.01598076,0.001176754,0,0.050369428,0.042646576,0.00E+00,0,0.010940685,0.010940685,0.014475826,0.021101316,0.000250915,0.013215361,0.021394657,0,0.048389775,0.05037412,0.050883392,0.189962223,0.052902278,0.000195478,0.011837317
3210000,6110000,Seoul,Seoul Seocho-gu,Seocho-gu,MPA,0.036224845,0.006230833,0.024901716,0.022341075,0.000608992,0,0.043025133,0.042099606,0.00E+00,0,0.010110225,0.010110225,0.023902205,0.062669706,0.007474351,0.046354367,0.019020964,0.000383768,5.37E-02,0.037606743,0.054416961,0.021586616,0.03951343,0.000254328,0.014630723
3220000,6110000,Seoul,Seoul Gangnam-gu,Gangnam-gu,MPA,0.109980995,0.019490892,0.039811784,0.028674417,0.004705927,0,0.055070692,0.055306369,0.00E+00,0,0.004485744,0.004485744,0.019851774,0.067621056,0.004393651,0.056130056,0.041897114,8.22E-05,0.076130478,0.055214041,0.034628975,0.006475985,0.072822271,0.000251898,0.026574267
3230000,6110000,Seoul,Seoul Songpa-gu,Songpa-gu,MPA,0.019957821,0.006062752,0.035129569,0.018152407,0.002596384,0,0.067973837,0.066309612,0.00E+00,0,0.000666885,0.000666885,0.016806211,0.059199005,0.003729831,0.060923749,0.041594391,0,0.054913055,0.045895803,0.040282686,0.006475985,0.055106539,0.000269869,0.015521981
3240000,6110000,Seoul,Seoul Gangdong-gu,Gangdong-gu,MPA,0.008279518,0.007124501,0.029797225,1.58E-02,0.001876908,0,0.045355878,0.042088075,0.00E+00,0,0.001868536,0.001868536,0.011780822,0.034162843,3.89E-03,0.03889129,0.021548701,1.10E-03,0.038842732,0.039414759,0.060777385,0.005396654,0.047187526,0.000320912,8.64E-03
3250000,6260000,Busan,Busan Jung-gu,Jung-gu,YNA,0.003923139,0.001101773,0,0.00E+00,6.20E-05,0,0.003355579,0.00484637,3.00E-03,0,8.18E-05,8.18E-05,0,0,0,0,0,0.001111977,0.017318782,0.020055075,0.007067138,0.003777658,0.027839007,8.75E-05,0.00305784
3260000,6260000,Busan,Busan Seo-gu,Seo-gu,YNA,0.006522421,0.001599523,0.006882263,0.004142668,8.73E-05,0,0.01020566,0.01392083,8.57E-03,0,0.004265546,0.004265546,0.006031719,0.006837988,0.000194334,0.003462015,0.010745404,0.015526869,0,0,0,0,0,0,0
3270000,6260000,Busan,Busan Dong-gu,Dong-gu,YNA,0.00396849,0.002340608,0.00577108,3.51E-03,0,0,0.008127911,0.011324846,3.84E-03,0,0.001736417,0.001736417,0.003782018,0.008348739,8.23E-05,0.00762107,0.016052236,0.005950606,0,0,0,0,0,0,0.00E+00
