DISTRICT_CD,PKMT_ID,CHR_CD,CHR_VAL,YYMM,VAL
B03,A113,F_ALAR,1020,201910,1
B03,A113,F_ALAR,1020,202002,1
B03,A113,F_ALAR,1020,202007,1
B03,A113,F_ALAR,1020,202011,1
B03,A113,F_ALAR,1020,202103,1
B03,A113,F_ALAR,1020,202104,1
B03,A113,F_ALAR,1020,202106,1
B03,A113,F_ALAR,1020,202201,1
B03,A113,F_ALAR,1020,202202,1
B03,A113,F_ALAR,1020,202205,1
B03,A113,F_ALAR,9999,202104,2
B03,A113,F_ATLI,1000,202103,1
B03,A113,F_ATLI,1020,202007,1
B03,A113,F_ATLI,1020,202106,1
B03,A113,F_ATLI,1170,202002,1
B03,A113,F_ATLI,1170,202104,1
B03,A113,F_ATLI,1280,201910,1
B03,A113,F_ATLI,1280,202011,1
B03,A113,F_ATLI,1310,202201,1
B03,A113,F_ATLI,1310,202202,1
B03,A113,F_ATLI,1310,202205,1
B03,A113,F_ATLI,9999,202104,2
B03,A113,F_BACO,1130,201910,1
B03,A113,F_BACO,1130,202002,1
B03,A113,F_BACO,1130,202007,1
B03,A113,F_BACO,1130,202011,1
B03,A113,F_BACO,1130,202103,1
B03,A113,F_BACO,1130,202104,3
B03,A113,F_BACO,1130,202106,1
B03,A113,F_BACO,1130,202201,1
B03,A113,F_BACO,1130,202202,1
B03,A113,F_BACO,1740,202205,1
B03,A113,F_BART,1000,201910,1
B03,A113,F_BART,1000,202007,1
B03,A113,F_BART,1000,202011,1
B03,A113,F_BART,1000,202103,1
B03,A113,F_BART,1000,202104,2
B03,A113,F_BART,1000,202106,1
B03,A113,F_BART,1330,202002,1
B03,A113,F_BART,9900,202104,1
B03,A113,F_BART,9900,202201,1
B03,A113,F_BART,9900,202202,1
B03,A113,F_BART,9900,202205,1
B03,A113,F_CARR,1000,202103,1
B03,A113,F_CARR,1020,202002,1
B03,A113,F_CARR,1020,202007,1
B03,A113,F_CARR,1020,202104,3
B03,A113,F_CARR,1020,202106,1
B03,A113,F_CARR,9900,201910,1
B03,A113,F_CARR,9900,202011,1
B03,A113,F_CARR,9900,202201,1
B03,A113,F_CARR,9900,202202,1
B03,A113,F_CARR,9900,202205,1
B03,A113,F_CBOX,9900,201910,1
B03,A113,F_CBOX,9900,202002,1
B03,A113,F_CBOX,9900,202007,1
B03,A113,F_CBOX,9900,202011,1
B03,A113,F_CBOX,9900,202103,1
B03,A113,F_CBOX,9900,202104,3
B03,A113,F_CBOX,9900,202106,1
B03,A113,F_CBOX,9900,202201,1
B03,A113,F_CBOX,9900,202202,1
B03,A113,F_CBOX,9900,202205,1
B03,A113,F_CRVE,1020,201910,1
B03,A113,F_CRVE,1020,202007,1
B03,A113,F_CRVE,1020,202011,1
B03,A113,F_CRVE,1020,202103,1
B03,A113,F_CRVE,1020,202104,2
B03,A113,F_CRVE,1020,202106,1
B03,A113,F_CRVE,1030,202002,1
B03,A113,F_CRVE,1030,202104,1
B03,A113,F_CRVE,1030,202201,1
B03,A113,F_CRVE,1030,202202,1
B03,A113,F_CRVE,1030,202205,1
B03,A113,F_CTWT,1000,201910,1
B03,A113,F_CTWT,1000,202002,1
B03,A113,F_CTWT,1000,202007,1
B03,A113,F_CTWT,1000,202011,1
B03,A113,F_CTWT,1000,202103,1
B03,A113,F_CTWT,1000,202104,3
B03,A113,F_CTWT,1000,202106,1
