STDR_YY,ORG_CD,POPUL_CNT,HOHOLD_CNT,RESI_CNT,BUGE_AMT,REGION_CD,ADMDSTRC_CD,FULL_SQUARE,ROAD_SQUARE,CULT_SQUARE,FORE_SQUARE,RIVER_SQUARE,COAST_ADJ_AT,INLAND_CTY_AT,PBORD_AMT,TRSPT_AMT,MNCP_AMT,LCPB_AMT,COAST_LEN,GVN_MNG_SQUARE,GVN_SPRT_SQUARE,ETC_SQUARE,DMG_STORM_FLOOD_AMT,CRTR_ID,LAST_MODUSR_ID,CREAT_DT,LAST_MODF_DT
2017,5690000,560200,105932,224886,1193310949269,CCA,SPC,46489.30685,1831.02769,7957.7117,24849,5603,0,1,30697343774,87499602416,1381598996292,49547309652,0,5869.12173,12224.64956,28414.90306,32360,skgo,skgo,20230203,20230203
2017,6110000,9857426,3948850,6065553,17063974746849,MPA,SPC,60524.28069,7881.47342,402.1097,15323,7240,0,1,232347840942,3416813335829,28472759667758,9002336494588,0,14878.07848,2593.34221,43148.553,44613,skgo,skgo,20230203,20230203
2017,6260000,3470653,1368360,2614926,6032416148281,YNA,MPC,77003.56758,5753.27385,5742.36,34926,528,0,1,132910075149,1375603618180,10191827004645,2493737174885,0,12542.73628,12358.72934,52175.10826,1803408,skgo,skgo,20230203,20230203
2017,6270000,2475231,958273,1722179,3824891556606,YNA,MPC,88360.31125,5875.93492,8061.5645,48338,896,0,1,105710409438,581031630305,6715488596178,1523922629557,0,12971.02903,14446.33483,61003.14899,0,skgo,skgo,20230203,20230203
2017,6280000,2948542,1105006,2040044,4980428528151,MPA,MPC,106311.5335,7917.81656,19003.8725,39373,1847,0,1,84379925815,766693634398,9035648448710,4520986178633,0,13580.67455,27970.98798,64825.10651,2549600,skgo,skgo,20230203,20230203
2017,6290000,1463770,583068,1097594,2392894617170,HNA,MPC,50118.119,3953.48408,9446.1919,18944,5614,0,1,67382480408,365014109680,4211708840500,629420662636,0,8058.57484,13822.33544,28276.59652,2400,skgo,skgo,20230203,20230203
2017,6300000,1502227,604490,1039429,2302795421362,CCA,MPC,53946.41835,3932.31295,3888.2513,29764,728,0,1,73717467585,293180428240,4701802009502,654043255624,0,9382.05963,6940.03944,37653.24408,1200,skgo,skgo,20230203,20230203
2017,6310000,1165132,437889,809847,2009551745774,YNA,MPC,106117.705,4482.24285,10540.3375,68001,123,0,1,71878461036,360254151373,3264739715689,481585904680,0,10623.7073,20447.38557,75096.11861,1541,skgo,skgo,20230203,20230203
2017,6500000,657083,246504,532405,4663744828199,JJA,SPC,185015.9946,8795.30403,61088.3301,87334,61,0,1,177919594502,503981219639,5103261494766,591466115891,0,12143.08977,68852.42238,104105.2624,321873,skgo,skgo,20230203,20230203
2017,3000000,154770,66711,104494,363078655290,MPA,SUB_SPC,2391.2788,237.03856,0,956,71,0,1,1107149580,18877140230,469958203915,16499009376,0,284.54026,82.26615,2029.56349,15268,skgo,skgo,20230203,20230203
