STDR_YY,ORG_CD,POPUL_CNT,HOHOLD_CNT,RESI_CNT,BUGE_AMT,REGION_CD,ADMDSTRC_CD,FULL_SQUARE,ROAD_SQUARE,CULT_SQUARE,FORE_SQUARE,RIVER_SQUARE,COAST_ADJ_AT,INLAND_CTY_AT,PBORD_AMT,TRSPT_AMT,MNCP_AMT,LCPB_AMT,COAST_LEN,GVN_MNG_SQUARE,GVN_SPRT_SQUARE,ETC_SQUARE,DMG_STORM_FLOOD_AMT,CRTR_ID,LAST_MODUSR_ID,CREAT_DT,LAST_MODF_DT
2022,5690000,767182,,,,CCA,SPC,,,,19680112,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,6110000,9428372,,,,MPA,SPC,,,,19411213,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,6260000,3317812,,,,YNA,MPC,,,,19950815,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,6270000,2363691,,,,YNA,MPC,,,,20320504,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,6280000,2967314,,,,MPA,MPC,,,,20071018,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,6290000,1431050,,,,HNA,MPC,,,,19511112,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,6300000,1446072,,,,CCA,MPC,,,,19810627,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,6310000,1110663,,,,YNA,MPC,,,,20860305,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,6500000,678159,,,,JJA,SPC,,,,21390209,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,3000000,141379,,,,MPA,SUB_SPC,,,,19020813,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,3010000,120437,,,,MPA,SUB_SPC,,,,19000530,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,3020000,218650,,,,MPA,SUB_SPC,,,,19000628,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,3030000,281000,,,,MPA,SUB_SPC,,,,19000222,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,3040000,337416,,,,MPA,SUB_SPC,,,,19001021,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,3050000,336644,,,,MPA,SUB_SPC,,,,19000423,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,3060000,385318,,,,MPA,SUB_SPC,,,,19010604,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,3070000,430397,,,,MPA,SUB_SPC,,,,19020716,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,3080000,293660,,,,MPA,SUB_SPC,,,,19030622,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,3090000,311694,,,,MPA,SUB_SPC,,,,19020916,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,3100000,503734,,,,MPA,SUB_SPC,,,,19040627,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,3110000,466746,,,,MPA,SUB_SPC,,,,19031115,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,3120000,306337,,,,MPA,SUB_SPC,,,,19010712,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,3130000,364638,,,,MPA,SUB_SPC,,,,19000314,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,3140000,440881,,,,MPA,SUB_SPC,,,,19001009,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,3150000,569166,,,,MPA,SUB_SPC,,,,19010123,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,3160000,395315,,,,MPA,SUB_SPC,,,,19001212,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,3170000,229642,,,,MPA,SUB_SPC,,,,19001115,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,3180000,375675,,,,MPA,SUB_SPC,,,,19000104,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,3190000,380596,,,,MPA,SUB_SPC,,,,19010107,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,3200000,486752,,,,MPA,SUB_SPC,,,,19041004,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,3210000,404325,,,,MPA,SUB_SPC,,,,19040525,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,3220000,529102,,,,MPA,SUB_SPC,,,,19011213,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,3230000,658801,,,,MPA,SUB_SPC,,,,19000415,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,3240000,460067,,,,MPA,SUB_SPC,,,,19001023,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,3250000,39689,,,,YNA,SUB_MPC,,,,19000113,,1,0,,,,,5.88,,,,,skgo,skgo,20230203,20230203
2022,3260000,105192,,,,YNA,SUB_MPC,,,,19011108,,1,0,,,,,16.8,,,,,skgo,skgo,20230203,20230203
2022,3270000,86462,,,,YNA,SUB_MPC,,,,19001002,,1,0,,,,,7.52,,,,,skgo,skgo,20230203,20230203
2022,3280000,108156,,,,YNA,SUB_MPC,,,,19010206,,1,0,,,,,41.84,,,,,skgo,skgo,20230203,20230203
2022,3290000,355917,,,,YNA,SUB_MPC,,,,19021105,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,3300000,273226,,,,YNA,SUB_MPC,,,,19010404,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,3310000,256333,,,,YNA,SUB_MPC,,,,19020628,,1,0,,,,,34.56,,,,,skgo,skgo,20230203,20230203
2022,3320000,278857,,,,YNA,SUB_MPC,,,,19060403,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,3330000,386785,,,,YNA,SUB_MPC,,,,19071105,,1,0,,,,,17.25,,,,,skgo,skgo,20230203,20230203
2022,3340000,301987,,,,YNA,SUB_MPC,,,,19031002,,1,0,,,,,84.61,,,,,skgo,skgo,20230203,20230203
2022,3350000,221256,,,,YNA,SUB_MPC,,,,19110412,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,3360000,143207,,,,YNA,SUB_MPC,,,,19110730,,1,0,,,,,127.51,,,,,skgo,skgo,20230203,20230203
2022,3370000,203536,,,,YNA,SUB_MPC,,,,19001027,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,3380000,174806,,,,YNA,SUB_MPC,,,,19000831,,1,0,,,,,7.22,,,,,skgo,skgo,20230203,20230203
2022,3390000,203789,,,,YNA,SUB_MPC,,,,19030601,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,3400000,178614,,,,YNA,SUB_MPC,,,,19390825,,1,0,,,,,65.61,,,,,skgo,skgo,20230203,20230203
2022,3410000,80199,,,,YNA,SUB_MPC,,,,19000100,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,3420000,339530,,,,YNA,SUB_MPC,,,,19310303,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,3430000,159827,,,,YNA,SUB_MPC,,,,19000724,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,3440000,141519,,,,YNA,SUB_MPC,,,,19011108,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,3450000,430912,,,,YNA,SUB_MPC,,,,19120806,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,3460000,411553,,,,YNA,SUB_MPC,,,,19100428,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,3470000,536989,,,,YNA,SUB_MPC,,,,19051019,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,3480000,263162,,,,YNA,SUB_MPC,,,,19700109,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,3490000,152931,,,,MPA,SUB_MPC,,,,19081209,,1,0,,,,,147.87,,,,,skgo,skgo,20230203,20230203
2022,3500000,58999,,,,MPA,SUB_MPC,,,,19000106,,1,0,,,,,9.87,,,,,skgo,skgo,20230203,20230203
2022,3510500,406004,,,,MPA,SUB_MPC,,,,19000828,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,3520000,385796,,,,MPA,SUB_MPC,,,,19010302,,1,0,,,,,39.82,,,,,skgo,skgo,20230203,20230203
2022,3530000,506181,,,,MPA,SUB_MPC,,,,19030614,,1,0,,,,,5.71,,,,,skgo,skgo,20230203,20230203
2022,3540000,489118,,,,MPA,SUB_MPC,,,,19020407,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,3550000,288856,,,,MPA,SUB_MPC,,,,19030219,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,3560000,589013,,,,MPA,SUB_MPC,,,,19080605,,1,0,,,,,27.5,,,,,skgo,skgo,20230203,20230203
2022,3570000,69803,,,,MPA,SUB_MPC,,,,19480628,,1,0,,,,,270.38,,,,,skgo,skgo,20230203,20230203
2022,3580000,20613,,,,MPA,SUB_MPC,,,,19310325,,1,0,,,,,576.05,,,,,skgo,skgo,20230203,20230203
2022,3590000,105909,,,,HNA,SUB_MPC,,,,19090622,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,3600000,287401,,,,HNA,SUB_MPC,,,,19020301,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,3610000,212379,,,,HNA,SUB_MPC,,,,19041129,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,3620000,424707,,,,HNA,SUB_MPC,,,,19141011,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,3630000,400654,,,,HNA,SUB_MPC,,,,19200712,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,3640000,219751,,,,CCA,SUB_MPC,,,,19231209,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,3650000,227108,,,,CCA,SUB_MPC,,,,19090515,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,3660000,470374,,,,CCA,SUB_MPC,,,,19140101,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
