ORGAN_CODE,CATEGORY,YY,VAL
3000000,호우,2017,15268
3030000,호우,2017,3600
3050000,호우,2017,
3060000,호우,2017,
3070000,호우,2017,
3080000,호우,2017,
3090000,호우,2017,15545
3100000,호우,2017,
3110000,호우,2017,
3120000,호우,2017,
3130000,호우,2017,
3140000,호우,2017,
3150000,호우,2017,
3160000,호우,2017,1800
3180000,호우,2017,
3190000,호우,2017,
3200000,호우,2017,
3210000,호우,2017,
3220000,호우,2017,
3240000,호우,2017,8400
3250000,호우,2017,61200
3260000,호우,2017,333148
3270000,호우,2017,43200
3280000,호우,2017,313493
3290000,호우,2017,72600
3300000,호우,2017,16150
3310000,호우,2017,15395
3320000,호우,2017,5651
3330000,호우,2017,7200
3340000,호우,2017,25800
3350000,호우,2017,600
3360000,호우,2017,4809
3370000,호우,2017,105600
3380000,호우,2017,435639
3390000,호우,2017,16341
3400000,호우,2017,600
3420000,호우,2017,
3450000,호우,2017,
3460000,호우,2017,
3480000,호우,2017,
3490000,호우,2017,20600
3500000,호우,2017,21600
3510500,호우,2017,648600
3520000,호우,2017,8400
3530000,호우,2017,623400
3540000,호우,2017,586200
3550000,호우,2017,3000
3560000,호우,2017,637200
3570000,호우,2017,
3580000,호우,2017,600
3590000,호우,2017,
3600000,호우,2017,
3610000,호우,2017,1200
3620000,호우,2017,
3630000,호우,2017,1200
3640000,호우,2017,
3650000,호우,2017,
3660000,호우,2017,1200
3670000,호우,2017,
3680000,호우,2017,
3720000,호우,2017,1367
3730000,호우,2017,174
5690000,호우,2017,32360
3740000,호우,2017,
3750000,호우,2017,26400
3760000,호우,2017,16800
3770000,호우,2017,7200
5610000,호우,2017,3000
3790000,호우,2017,16200
3800000,호우,2017,
3810000,호우,2017,
3820000,호우,2017,12000
3840000,호우,2017,
3850000,호우,2017,
3860000,호우,2017,15000
3900000,호우,2017,51379
3910000,호우,2017,52385
3920000,호우,2017,2400
3930000,호우,2017,
5550000,호우,2017,40800
5560000,호우,2017,9000
3940000,호우,2017,
3950000,호우,2017,34502
3960100,호우,2017,15749
4100100,호우,2017,11400
3970000,호우,2017,
3980000,호우,2017,
3990000,호우,2017,141615
4000000,호우,2017,
4010000,호우,2017,294600
4020000,호우,2017,172500
4030000,호우,2017,24600
4040000,호우,2017,8400
4050000,호우,2017,
5620000,호우,2017,19200
5630000,호우,2017,1200
5640000,호우,2017,6600
4060000,호우,2017,
4070000,호우,2017,73941
4080000,호우,2017,843208
4090000,호우,2017,3000
5530000,호우,2017,39400
5540000,호우,2017,18823
5590000,호우,2017,17025
5600000,호우,2017,489085
5700000,호우,2017,347359
4140000,호우,2017,16942
4160000,호우,2017,44775
4170000,호우,2017,4014
4180000,호우,2017,150365
4190000,호우,2017,17904
4200000,호우,2017,893610
4220000,호우,2017,
4230000,호우,2017,2400
4240000,호우,2017,3600
4250000,호우,2017,4922914
4260000,호우,2017,81092
4270000,호우,2017,
4280000,호우,2017,276557
4290000,호우,2017,46495
4300000,호우,2017,672
4310000,호우,2017,14802
4320000,호우,2017,90978
4330000,호우,2017,587950
4340000,호우,2017,
4350000,호우,2017,
5710000,호우,2017,
5720000,호우,2017,21119791
5725000,호우,2017,1183147
5730000,호우,2017,4887463
5735000,호우,2017,5085641
4390000,호우,2017,30671
4400000,호우,2017,
4420000,호우,2017,3298470
4430000,호우,2017,
4440000,호우,2017,91422
5570000,호우,2017,4079794
4450000,호우,2017,3863518
4460000,호우,2017,11354789
4470000,호우,2017,2722778
4480000,호우,2017,
4490000,호우,2017,
5650000,호우,2017,22303954
5660000,호우,2017,503147
4500000,호우,2017,1891
4510000,호우,2017,
4520000,호우,2017,1122449
4530000,호우,2017,
4540000,호우,2017,18696
5580000,호우,2017,
5680000,호우,2017,
4550000,호우,2017,
4570000,호우,2017,15893
4580000,호우,2017,
4590000,호우,2017,
4600000,호우,2017,21937
4610000,호우,2017,493949
4620000,호우,2017,
4640000,호우,2017,
4650000,호우,2017,
4660000,호우,2017,
4670000,호우,2017,600
4680000,호우,2017,777
4690000,호우,2017,
4700000,호우,2017,
4710000,호우,2017,15000
4720000,호우,2017,
4730000,호우,2017,
4740000,호우,2017,
4750000,호우,2017,19418
4760000,호우,2017,
4770000,호우,2017,
4780000,호우,2017,1200
4790000,호우,2017,34766
4800000,호우,2017,
4810000,호우,2017,102712
4820000,호우,2017,
4830000,호우,2017,
4840000,호우,2017,
4850000,호우,2017,
4860000,호우,2017,
4870000,호우,2017,
4880000,호우,2017,6004
4890000,호우,2017,
4900000,호우,2017,
4910000,호우,2017,30600
4920000,호우,2017,
4930000,호우,2017,
4940000,호우,2017,
4950000,호우,2017,7300
4960000,호우,2017,1200
4970000,호우,2017,
4980000,호우,2017,
4990000,호우,2017,600
5000000,호우,2017,
5010000,호우,2017,
5020000,호우,2017,
5030000,호우,2017,
5040000,호우,2017,30000
5050000,호우,2017,
5060000,호우,2017,
5070000,호우,2017,190503
5080000,호우,2017,
5090000,호우,2017,
5100000,호우,2017,
5110000,호우,2017,498567
5120000,호우,2017,332354
5130000,호우,2017,
5140000,호우,2017,
5150000,호우,2017,45072
5160000,호우,2017,
5170000,호우,2017,
5180000,호우,2017,
5190000,호우,2017,15000
5200000,호우,2017,
5210000,호우,2017,
5220000,호우,2017,
5230000,호우,2017,341945
5240000,호우,2017,
5250000,호우,2017,
5670000,호우,2017,
5670123,호우,2017,
5670140,호우,2017,
5670156,호우,2017,
5670206,호우,2017,
5310000,호우,2017,
5330000,호우,2017,478037
5340000,호우,2017,
5350000,호우,2017,12859
5360000,호우,2017,
5370000,호우,2017,2936968
5380000,호우,2017,1800
5390000,호우,2017,
5400000,호우,2017,
5410000,호우,2017,
5420000,호우,2017,
5440000,호우,2017,
5450000,호우,2017,
5460000,호우,2017,30000
5470000,호우,2017,
5480000,호우,2017,4894
6510000,호우,2017,19561
6520000,호우,2017,177100
3420000,대설,2017,
3460000,대설,2017,
3480000,대설,2017,
3630000,대설,2017,
3730000,대설,2017,
3960100,대설,2017,
4100100,대설,2017,
3970000,대설,2017,
4070000,대설,2017,
4080000,대설,2017,
4090000,대설,2017,
5590000,대설,2017,
5700000,대설,2017,
4200000,대설,2017,
4220000,대설,2017,
4230000,대설,2017,
4280000,대설,2017,17689
4320000,대설,2017,
5710000,대설,2017,
4430000,대설,2017,
4440000,대설,2017,
4460000,대설,2017,
4480000,대설,2017,
5650000,대설,2017,
4500000,대설,2017,
4550000,대설,2017,
4640000,대설,2017,
4670000,대설,2017,
4700000,대설,2017,
4740000,대설,2017,
4750000,대설,2017,
4770000,대설,2017,
4780000,대설,2017,
4790000,대설,2017,
4850000,대설,2017,
4950000,대설,2017,
4970000,대설,2017,
