ORGAN_CODE,YY,VAL
6110000,2017,"9,857,426"
3000000,2017,"154,770"
3010000,2017,"125,709"
3020000,2017,"229,161"
3030000,2017,"304,808"
3040000,2017,"357,703"
3050000,2017,"350,647"
3060000,2017,"408,226"
3070000,2017,"444,055"
3080000,2017,"324,479"
3090000,2017,"344,166"
3100000,2017,"554,403"
3110000,2017,"486,794"
3120000,2017,"312,800"
3130000,2017,"374,915"
3140000,2017,"471,154"
3150000,2017,"601,691"
3160000,2017,"410,742"
3170000,2017,"235,154"
3180000,2017,"368,550"
3190000,2017,"396,217"
3200000,2017,"503,297"
3210000,2017,"441,102"
3220000,2017,"556,164"
3230000,2017,"664,496"
3240000,2017,"436,223"
6260000,2017,"3,470,653"
3250000,2017,"44,218"
3260000,2017,"110,039"
3270000,2017,"88,868"
3280000,2017,"123,521"
3290000,2017,"371,703"
3300000,2017,"270,727"
3310000,2017,"273,854"
3320000,2017,"302,924"
3330000,2017,"412,039"
3340000,2017,"333,301"
3350000,2017,"244,469"
3360000,2017,"117,382"
3370000,2017,"206,742"
3380000,2017,"179,996"
3390000,2017,"229,219"
3400000,2017,"161,651"
6270000,2017,"2,475,231"
3410000,2017,"78,986"
3420000,2017,"349,379"
3430000,2017,"191,992"
3440000,2017,"152,845"
3450000,2017,"441,375"
3460000,2017,"439,211"
3470000,2017,"578,068"
3480000,2017,"243,375"
6280000,2017,"2,948,542"
3490000,2017,"117,999"
3500000,2017,"69,487"
3510500,2017,"419,267"
3520000,2017,"335,142"
3530000,2017,"536,578"
3540000,2017,"539,941"
3550000,2017,"323,784"
3560000,2017,"516,017"
3570000,2017,"68,754"
3580000,2017,"21,573"
6290000,2017,"1,463,770"
3590000,2017,"95,448"
3600000,2017,"306,957"
3610000,2017,"218,454"
3620000,2017,"438,780"
3630000,2017,"404,131"
6300000,2017,"1,502,227"
3640000,2017,"230,516"
3650000,2017,"248,933"
3660000,2017,"487,448"
3670000,2017,"348,428"
3680000,2017,"186,902"
6310000,2017,"1,165,132"
3690000,2017,"238,652"
3700000,2017,"335,439"
3710000,2017,"169,605"
3720000,2017,"200,718"
3730000,2017,"220,718"
5690000,2017,"280,100"
5690000,2017,"280,100"
6410000,2017,"12,873,895"
3740000,2017,"1,202,628"
3750000,2017,"293,828"
3760000,2017,"365,653"
3770000,2017,"193,311"
5610000,2017,"349,836"
3780000,2017,"967,510"
3790000,2017,"236,932"
3800000,2017,"230,366"
3810000,2017,"500,212"
3820000,2017,"441,584"
3830000,2017,"587,764"
3840000,2017,"254,977"
3850000,2017,"332,787"
3860000,2017,"850,329"
3900000,2017,"332,790"
3910000,2017,"481,530"
3920000,2017,"97,071"
3930000,2017,"677,710"
5550000,2017,"370,744"
5560000,2017,"306,966"
3940000,2017,"1,041,983"
3950000,2017,"448,684"
3960100,2017,"293,673"
4100100,2017,"299,626"
3970000,2017,"57,527"
3980000,2017,"200,042"
3990000,2017,"665,321"
4000000,2017,"213,437"
4010000,2017,"419,664"
4020000,2017,"281,205"
4030000,2017,"155,767"
4040000,2017,"232,487"
4050000,2017,"1,004,081"
5620000,2017,"231,553"
5630000,2017,"419,429"
5640000,2017,"353,099"
4060000,2017,"437,848"
4070000,2017,"213,142"
4080000,2017,"182,786"
4090000,2017,"392,092"
5530000,2017,"691,086"
5540000,2017,"345,947"
5590000,2017,"212,146"
5600000,2017,"152,925"
5700000,2017,"111,984"
4140000,2017,"45,431"
