ORGAN_CODE,FIELD_NM,YY,VAL
6110000,주택,2017,2866845
6110000,단독주택-계,2017,331863
6110000,단독주택-일반,2017,78193
6110000,단독주택-다가구,2017,202108
6110000,단독주택-영업겸용,2017,51562
6110000,아파트,2017,1665922
6110000,연립주택,2017,114352
6110000,다세대주택,2017,724932
6110000,비거주용건물내주택,2017,29776
3000000,주택,2017,45787
3000000,단독주택-계,2017,12920
3000000,단독주택-일반,2017,7268
3000000,단독주택-다가구,2017,4032
3000000,단독주택-영업겸용,2017,1620
3000000,아파트,2017,14507
3000000,연립주택,2017,5451
3000000,다세대주택,2017,11978
3000000,비거주용건물내주택,2017,931
3010000,주택,2017,39512
3010000,단독주택-계,2017,6308
3010000,단독주택-일반,2017,2579
3010000,단독주택-다가구,2017,2452
3010000,단독주택-영업겸용,2017,1277
3010000,아파트,2017,23874
3010000,연립주택,2017,1948
3010000,다세대주택,2017,6491
3010000,비거주용건물내주택,2017,891
3020000,주택,2017,71356
3020000,단독주택-계,2017,14993
3020000,단독주택-일반,2017,5465
3020000,단독주택-다가구,2017,7693
3020000,단독주택-영업겸용,2017,1835
3020000,아파트,2017,35648
3020000,연립주택,2017,3985
3020000,다세대주택,2017,15988
3020000,비거주용건물내주택,2017,742
3030000,주택,2017,86650
3030000,단독주택-계,2017,11044
3030000,단독주택-일반,2017,2337
3030000,단독주택-다가구,2017,6899
3030000,단독주택-영업겸용,2017,1808
3030000,아파트,2017,62985
3030000,연립주택,2017,2055
3030000,다세대주택,2017,9470
3030000,비거주용건물내주택,2017,1096
3040000,주택,2017,84316
3040000,단독주택-계,2017,16297
3040000,단독주택-일반,2017,728
3040000,단독주택-다가구,2017,12585
3040000,단독주택-영업겸용,2017,2984
3040000,아파트,2017,30301
3040000,연립주택,2017,4249
3040000,다세대주택,2017,31970
3040000,비거주용건물내주택,2017,1499
3050000,주택,2017,97891
3050000,단독주택-계,2017,19954
3050000,단독주택-일반,2017,6040
3050000,단독주택-다가구,2017,10959
3050000,단독주택-영업겸용,2017,2955
3050000,아파트,2017,58161
3050000,연립주택,2017,3251
3050000,다세대주택,2017,14866
3050000,비거주용건물내주택,2017,1659
3060000,주택,2017,103740
3060000,단독주택-계,2017,19669
3060000,단독주택-일반,2017,2130
3060000,단독주택-다가구,2017,14355
3060000,단독주택-영업겸용,2017,3184
3060000,아파트,2017,51031
3060000,연립주택,2017,4578
3060000,다세대주택,2017,26949
3060000,비거주용건물내주택,2017,1513
3070000,주택,2017,130766
3070000,단독주택-계,2017,25457
3070000,단독주택-일반,2017,11662
3070000,단독주택-다가구,2017,10682
3070000,단독주택-영업겸용,2017,3113
3070000,아파트,2017,71571
3070000,연립주택,2017,6321
3070000,다세대주택,2017,25902
3070000,비거주용건물내주택,2017,1515
3080000,주택,2017,94526
3080000,단독주택-계,2017,18369
3080000,단독주택-일반,2017,5416
3080000,단독주택-다가구,2017,10463
3080000,단독주택-영업겸용,2017,2490
3080000,아파트,2017,33458
3080000,연립주택,2017,4882
3080000,다세대주택,2017,36743
3080000,비거주용건물내주택,2017,1074
3090000,주택,2017,104752
3090000,단독주택-계,2017,9014
3090000,단독주택-일반,2017,1606
3090000,단독주택-다가구,2017,5800
3090000,단독주택-영업겸용,2017,1608
3090000,아파트,2017,64352
3090000,연립주택,2017,4235
3090000,다세대주택,2017,26422
3090000,비거주용건물내주택,2017,729
3100000,주택,2017,187025
3100000,단독주택-계,2017,7081
3100000,단독주택-일반,2017,2429
3100000,단독주택-다가구,2017,3491
3100000,단독주택-영업겸용,2017,1161
3100000,아파트,2017,161701
3100000,연립주택,2017,3508
3100000,다세대주택,2017,14025
3100000,비거주용건물내주택,2017,710
3110000,주택,2017,143727
3110000,단독주택-계,2017,16416
3110000,단독주택-일반,2017,5018
3110000,단독주택-다가구,2017,8767
3110000,단독주택-영업겸용,2017,2631
3110000,아파트,2017,52000
