ORGAN_CODE,CATEGORY,VAL
6110000,국토면적,60523
3000000,국토면적,2391
3010000,국토면적,996
3020000,국토면적,2187
3030000,국토면적,1686
3040000,국토면적,1706
3050000,국토면적,1422
3060000,국토면적,1850
3070000,국토면적,2458
3080000,국토면적,2360
3090000,국토면적,2065
3100000,국토면적,3544
3110000,국토면적,2971
3120000,국토면적,1763
3130000,국토면적,2385
3140000,국토면적,1741
3150000,국토면적,4144
3160000,국토면적,2012
3170000,국토면적,1302
3180000,국토면적,2455
3190000,국토면적,1635
3200000,국토면적,2957
3210000,국토면적,4698
3220000,국토면적,3950
3230000,국토면적,3387
3240000,국토면적,2459
6260000,국토면적,77007
3250000,국토면적,283
3260000,국토면적,1396
3270000,국토면적,986
3280000,국토면적,1420
3290000,국토면적,2967
3300000,국토면적,1663
3310000,국토면적,2682
3320000,국토면적,3937
3330000,국토면적,5150
3340000,국토면적,4177
3350000,국토면적,6526
3360000,국토면적,18150
3370000,국토면적,1210
3380000,국토면적,1021
3390000,국토면적,3610
3400000,국토면적,21830
6270000,국토면적,88349
3410000,국토면적,706
3420000,국토면적,18214
3430000,국토면적,1732
3440000,국토면적,1743
3450000,국토면적,9399
3460000,국토면적,7654
3470000,국토면적,6234
3480000,국토면적,42668
6280000,국토면적,106523
3490000,국토면적,14036
3500000,국토면적,720
3510500,국토면적,2484
3520000,국토면적,5619
3530000,국토면적,5745
3540000,국토면적,3200
3550000,국토면적,4557
3560000,국토면적,11727
3570000,국토면적,41142
3580000,국토면적,17293
6290000,국토면적,50113
3590000,국토면적,4931
3600000,국토면적,4776
3610000,국토면적,6099
3620000,국토면적,12027
3630000,국토면적,22279
6300000,국토면적,53966
3640000,국토면적,13668
3650000,국토면적,6218
3660000,국토면적,9553
3670000,국토면적,17655
3680000,국토면적,6872
6310000,국토면적,106209
3690000,국토면적,3701
3700000,국토면적,7351
3710000,국토면적,3607
3720000,국토면적,15735
3730000,국토면적,75814
5690000,국토면적,46491
#N/A,국토면적,46491
6410000,국토면적,1019527
3740000,국토면적,12109
3780000,국토면적,14163
3820000,국토면적,8155
3830000,국토면적,5847
3860000,국토면적,5345
3900000,국토면적,3853
3910000,국토면적,45824
3920000,국토면적,9567
3930000,국토면적,15633
3940000,국토면적,26810
3970000,국토면적,3587
3980000,국토면적,3333
3990000,국토면적,45814
4000000,국토면적,4271
4010000,국토면적,13968
4020000,국토면적,3642
4030000,국토면적,5403
4040000,국토면적,9299
4050000,국토면적,59123
4060000,국토면적,67386
4070000,국토면적,46143
4080000,국토면적,55346
4090000,국토면적,27661
5530000,국토면적,69818
5540000,국토면적,43099
5590000,국토면적,31043
5600000,국토면적,82691
5700000,국토면적,60826
4140000,국토면적,67631
4160000,국토면적,84366
4170000,국토면적,87769
6420000,국토면적,1682968
4180000,국토면적,111640
4190000,국토면적,86823
4200000,국토면적,104078
4210000,국토면적,18021
4220000,국토면적,30349
4230000,국토면적,10576
4240000,국토면적,118781
4250000,국토면적,182034
4260000,국토면적,99807
4270000,국토면적,112732
4280000,국토면적,146396
4290000,국토면적,121986
4300000,국토면적,88969
4310000,국토면적,90893
4320000,국토면적,66197
4330000,국토면적,164610
4340000,국토면적,66075
4350000,국토면적,63001
6430000,국토면적,740695
5710000,국토면적,94082
4390000,국토면적,98359
4400000,국토면적,88349
4420000,국토면적,58421
4430000,국토면적,53725
4440000,국토면적,84605
5570000,국토면적,8181
4450000,국토면적,40733
4460000,국토면적,84214
4470000,국토면적,52017
4480000,국토면적,78010
6440000,국토면적,824617
4490000,국토면적,63609
4500000,국토면적,86415
4510000,국토면적,58674
4520000,국토면적,54285
4530000,국토면적,74214
4540000,국토면적,55562
5580000,국토면적,6070
5680000,국토면적,70548
4550000,국토면적,57720
4570000,국토면적,62461
4580000,국토면적,36613
4590000,국토면적,47910
4600000,국토면적,44670
4610000,국토면적,54266
4620000,국토면적,51598
6450000,국토면적,806984
4640000,국토면적,20604
4670000,국토면적,39727
4680000,국토면적,50655
4690000,국토면적,69307
4700000,국토면적,75221
4710000,국토면적,54587
4720000,국토면적,82111
4730000,국토면적,78904
4740000,국토면적,63178
4750000,국토면적,53317
4760000,국토면적,59722
4770000,국토면적,49583
4780000,국토면적,60749
4790000,국토면적,49318
6460000,국토면적,1234809
4800000,국토면적,5162
4810000,국토면적,51225
4820000,국토면적,91103
4830000,국토면적,60837
4840000,국토면적,46413
4850000,국토면적,45509
4860000,국토면적,54750
4870000,국토면적,44293
4880000,국토면적,80733
4890000,국토면적,66406
4900000,국토면적,78705
4910000,국토면적,62235
4920000,국토면적,50090
4930000,국토면적,103296
4940000,국토면적,61249
4950000,국토면적,45037
4960000,국토면적,39211
4970000,국토면적,47490
4980000,국토면적,51828
4990000,국토면적,39673
5000000,국토면적,44010
5010000,국토면적,65557
6470000,국토면적,1903403
5020000,국토면적,113047
5050000,국토면적,132486
5060000,국토면적,100980
5070000,국토면적,152209
5080000,국토면적,61532
5090000,국토면적,67010
5100000,국토면적,91919
5110000,국토면적,125461
5120000,국토면적,91194
5130000,국토면적,41177
5140000,국토면적,61434
5150000,국토면적,117472
5160000,국토면적,84617
5170000,국토면적,81577
5180000,국토면적,74125
5190000,국토면적,69381
5200000,국토면적,38406
5210000,국토면적,61610
5220000,국토면적,45094
5230000,국토면적,66150
5240000,국토면적,120210
5250000,국토면적,99017
5260000,국토면적,7294
6480000,국토면적,1054055
5670000,국토면적,74806
5310000,국토면적,71283
5330000,국토면적,23988
5340000,국토면적,39870
5350000,국토면적,46344
5360000,국토면적,79865
5370000,국토면적,40382
5380000,국토면적,48563
5390000,국토면적,48290
5400000,국토면적,41660
5410000,국토면적,53274
5420000,국토면적,51795
5430000,국토면적,35754
5440000,국토면적,67525
5450000,국토면적,79464
5460000,국토면적,72550
5470000,국토면적,80338
5480000,국토면적,98304
6500000,국토면적,185021
6510000,국토면적,97867
6520000,국토면적,87154
6110000,산림면적,15323
3000000,산림면적,956
3010000,산림면적,151
