ORGAN_CODE,CATEGORY,YY,VAL
6110000,³í,2017,167.4724
6260000,³í,2017,3242.8121
3400000,³í,2017,642.1182
6270000,³í,2017,3993.7621
3480000,³í,2017,3429.2735
6280000,³í,2017,12222.9811
3570000,³í,2017,10103.9789
6290000,³í,2017,5931.3123
3630000,³í,2017,3337.2237
6300000,³í,2017,1458.0793
6310000,³í,2017,5636.127
3730000,³í,2017,4847.8303
5690000,³í,2017,4512.784
6410000,³í,2017,88732.9715
3740000,³í,2017,474.5182
3780000,³í,2017,46.7587
3820000,³í,2017,128.371
3830000,³í,2017,0
3860000,³í,2017,276.0628
3900000,³í,2017,130.6516
3910000,³í,2017,13074.3182
3920000,³í,2017,77.8881
3930000,³í,2017,709.0907
3940000,³í,2017,1423.9766
3970000,³í,2017,13.6885
3980000,³í,2017,0
3990000,³í,2017,273.7388
4000000,³í,2017,244.8831
4010000,³í,2017,953.2708
4020000,³í,2017,81.1894
4030000,³í,2017,93.5008
4040000,³í,2017,7.1604
4050000,³í,2017,4219.7145
4060000,³í,2017,6797.4251
4070000,³í,2017,8901.2775
4080000,³í,2017,8482.0142
4090000,³í,2017,5222.6832
5530000,³í,2017,13662.0597
5540000,³í,2017,830.5588
5590000,³í,2017,1599.7721
5600000,³í,2017,3738.0346
5700000,³í,2017,8274.7254
4140000,³í,2017,3769.7906
4160000,³í,2017,1134.2938
4170000,³í,2017,4091.5543
6420000,³í,2017,35681.5003
4180000,³í,2017,1958.8231
4190000,³í,2017,3755.8339
4200000,³í,2017,2570.6551
4210000,³í,2017,261.4476
4220000,³í,2017,2
4230000,³í,2017,404.6491
4240000,³í,2017,954.6908
4250000,³í,2017,3058.7407
4260000,³í,2017,2977.1537
4270000,³í,2017,484.3003
4280000,³í,2017,313.8515
4290000,³í,2017,158.9274
4300000,³í,2017,10216.6641
4310000,³í,2017,681.8324
4320000,³í,2017,1623.8946
4330000,³í,2017,991.7584
4340000,³í,2017,3319.2363
4350000,³í,2017,1947.0413
6430000,³í,2017,40505.592
5710000,³í,2017,10494.0507
4390000,³í,2017,5563.1942
4400000,³í,2017,2396.0008
4420000,³í,2017,4344.7035
4430000,³í,2017,2161.579
4440000,³í,2017,1279.0527
4450000,³í,2017,4636.1276
4460000,³í,2017,3431.4865
4470000,³í,2017,4718.1498
4480000,³í,2017,347.5467
5570000,³í,2017,1133.7005
6440000,³í,2017,148557.6753
4490000,³í,2017,6272.1624
4500000,³í,2017,7271.9186
4510000,³í,2017,9206.321
4520000,³í,2017,10327.8676
4530000,³í,2017,20440.5571
4540000,³í,2017,11694.3703
5580000,³í,2017,287.3446
5680000,³í,2017,20526.7461
4550000,³í,2017,1785.3237
4570000,³í,2017,12649.7252
4580000,³í,2017,10611.3248
4590000,³í,2017,6386.1486
4600000,³í,2017,9882.4645
4610000,³í,2017,11960.7581
4620000,³í,2017,9254.6427
6450000,³í,2017,130321.9833
4640000,³í,2017,3015.335
4670000,³í,2017,12756.1469
4680000,³í,2017,18201.3824
4690000,³í,2017,14356.185
4700000,³í,2017,10734.9358
4710000,³í,2017,20897.7694
4720000,³í,2017,4549.0008
4730000,³í,2017,2302.816
4740000,³í,2017,1284.2348
4750000,³í,2017,3046.4401
4760000,³í,2017,4324.4167
4770000,³í,2017,6190.1861
4780000,³í,2017,13931.1584
4790000,³í,2017,14731.9759
6460000,³í,2017,177752.6797
4800000,³í,2017,160.7309
4810000,³í,2017,2592.4166
4820000,³í,2017,5928.24
4830000,³í,2017,14191.9194
4840000,³í,2017,1487.5028
4850000,³í,2017,6622.7721
4860000,³í,2017,4891.6755
4870000,³í,2017,3046.4673
4880000,³í,2017,14061.9784
4890000,³í,2017,8368.3161
4900000,³í,2017,5765.1513
4910000,³í,2017,9226.4562
4920000,³í,2017,10470.3363
4930000,³í,2017,21621.4731
4940000,³í,2017,16327.4979
4950000,³í,2017,9954.905
4960000,³í,2017,8162.7508
4970000,³í,2017,11316.0853
4980000,³í,2017,4894.8978
4990000,³í,2017,2551.2465
5000000,³í,2017,6403.1315
5010000,³í,2017,9706.7289
6470000,³í,2017,121350.3037
5020000,³í,2017,8048.3695
5050000,³í,2017,13930.7109
5060000,³í,2017,5551.4591
5070000,³í,2017,6475.9449
5080000,³í,2017,8597.7494
5090000,³í,2017,4683.2065
5100000,³í,2017,4298.5368
5110000,³í,2017,13481.4378
5120000,³í,2017,4778.5682
5130000,³í,2017,966.4491
5140000,³í,2017,2871.0576
5150000,³í,2017,10230.0721
5160000,³í,2017,1268.1315
5170000,³í,2017,1400.0992
5180000,³í,2017,2973.8243
5190000,³í,2017,2797.2162
5200000,³í,2017,4387.7739
5210000,³í,2017,5924.0378
5220000,³í,2017,2794.9941
5230000,³í,2017,9934.1986
5240000,³í,2017,2913.3971
5250000,³í,2017,3043.0691
5260000,³í,2017,0
6480000,³í,2017,84779.8088
5670000,³í,2017,5427.1492
