ORGAN_CODE,TOP_CODE,TOP_ORGAN,FULL_ORGAN,LWST_ORGAN
5690000,5690000,Sejong,Sejong,Sejong
6110000,6110000,Seoul,Seoul,Seoul
6260000,6260000,Busan,Busan,Busan
6270000,6270000,Daegu,Daegu,Daegu
6280000,6280000,Incheon,Incheon,Incheon
6290000,6290000,Gwangju,Gwangju,Gwangju
6300000,6300000,Daejeon,Daejeon,Daejeon
6310000,6310000,Ulsan,Ulsan,Ulsan
6500000,6500000,Jeju-do,Jeju-do,Jeju-do
3000000,6110000,Seoul,Seoul Jongno-gu,Jongno-gu
3010000,6110000,Seoul,Seoul Jung-gu,Jung-gu
3020000,6110000,Seoul,Seoul Yongsan-gu,Yongsan-gu
3030000,6110000,Seoul,Seoul Seongdong-gu,Seongdong-gu
3040000,6110000,Seoul,Seoul Gwangjin-gu,Gwangjin-gu
3050000,6110000,Seoul,Seoul Dongdaemun-gu,Dongdaemun-gu
3060000,6110000,Seoul,Seoul Jungnang-gu,Jungnang-gu
3070000,6110000,Seoul,Seoul Seongbuk-gu,Seongbuk-gu
3080000,6110000,Seoul,Seoul Gangbuk-gu,Gangbuk-gu
3090000,6110000,Seoul,Seoul Dobong-gu,Dobong-gu
3100000,6110000,Seoul,Seoul Nowon-gu,Nowon-gu
3110000,6110000,Seoul,Seoul Eunpyeong-gu,Eunpyeong-gu
3120000,6110000,Seoul,Seoul Seodaemun-gu,Seodaemun-gu
3130000,6110000,Seoul,Seoul Mapo-gu,Mapo-gu
3140000,6110000,Seoul,Seoul Yangcheon-gu,Yangcheon-gu
3150000,6110000,Seoul,Seoul Gangseo-gu,Gangseo-gu
3160000,6110000,Seoul,Seoul Guro-gu,Guro-gu
3170000,6110000,Seoul,Seoul Geumcheon-gu,Geumcheon-gu
3180000,6110000,Seoul,Seoul Yeongdeungpo-gu,Yeongdeungpo-gu
3190000,6110000,Seoul,Seoul Dongjak-gu,Dongjak-gu
3200000,6110000,Seoul,Seoul Gwanak-gu,Gwanak-gu
3210000,6110000,Seoul,Seoul Seocho-gu,Seocho-gu
3220000,6110000,Seoul,Seoul Gangnam-gu,Gangnam-gu
3230000,6110000,Seoul,Seoul Songpa-gu,Songpa-gu
3240000,6110000,Seoul,Seoul Gangdong-gu,Gangdong-gu
3250000,6260000,Busan,Busan Jung-gu,Jung-gu
3260000,6260000,Busan,Busan Seo-gu,Seo-gu
3270000,6260000,Busan,Busan Dong-gu,Dong-gu
3280000,6260000,Busan,Busan Yeongdo-gu,Yeongdo-gu
3290000,6260000,Busan,Busan Busanjin-gu,Busanjin-gu
3300000,6260000,Busan,Busan Dongnae-gu,Dongnae-gu
3310000,6260000,Busan,Busan Nam-gu,Nam-gu
3320000,6260000,Busan,Busan Buk-gu,Buk-gu
3330000,6260000,Busan,Busan Haeundae-gu,Haeundae-gu
3340000,6260000,Busan,Busan Saha-gu,Saha-gu
3350000,6260000,Busan,Busan Geumjeong-gu,Geumjeong-gu
3360000,6260000,Busan,Busan Gangseo-gu,Gangseo-gu
3370000,6260000,Busan,Busan Yeonje-gu,Yeonje-gu
3380000,6260000,Busan,Busan Suyeong-gu,Suyeong-gu
3390000,6260000,Busan,Busan Sasang-gu,Sasang-gu
3400000,6260000,Busan,Busan Gijang-gun,Gijang-gun
3410000,6270000,Daegu,Daegu Jung-gu,Jung-gu
3420000,6270000,Daegu,Daegu Dong-gu,Dong-gu
3430000,6270000,Daegu,Daegu Seo-gu,Seo-gu
3440000,6270000,Daegu,Daegu Nam-gu,Nam-gu
3450000,6270000,Daegu,Daegu Buk-gu,Buk-gu
3460000,6270000,Daegu,Daegu Suseong-gu,Suseong-gu
3470000,6270000,Daegu,Daegu Dalseo-gu,Dalseo-gu
3480000,6270000,Daegu,Daegu Dalseong-gun,Dalseong-gun
3490000,6280000,Incheon,Incheon Jung-gu,Jung-gu
3500000,6280000,Incheon,Incheon Dong-gu,Dong-gu
3510500,6280000,Incheon,Incheon Michuhol-gu,Michuhol-gu
3520000,6280000,Incheon,Incheon Yeonsu-gu,Yeonsu-gu
3530000,6280000,Incheon,Incheon Namdong-gu,Namdong-gu
3540000,6280000,Incheon,Incheon Bupyeong-gu,Bupyeong-gu
3550000,6280000,Incheon,Incheon Gyeyang-gu,Gyeyang-gu
3560000,6280000,Incheon,Incheon Seo-gu,Seo-gu
3570000,6280000,Incheon,Incheon Ganghwa-gun,Ganghwa-gun
3580000,6280000,Incheon,Incheon Ongjin-gun,Ongjin-gun
3590000,6290000,Gwangju,Gwangju Dong-gu,Dong-gu
3600000,6290000,Gwangju,Gwangju Seo-gu,Seo-gu
3610000,6290000,Gwangju,Gwangju Nam-gu,Nam-gu
3620000,6290000,Gwangju,Gwangju Buk-gu,Buk-gu
3630000,6290000,Gwangju,Gwangju Gwangsan-gu,Gwangsan-gu
3640000,6300000,Daejeon,Daejeon Dong-gu,Dong-gu
3650000,6300000,Daejeon,Daejeon Jung-gu,Jung-gu
3660000,6300000,Daejeon,Daejeon Seo-gu,Seo-gu
3670000,6300000,Daejeon,Daejeon Yuseong-gu,Yuseong-gu
3680000,6300000,Daejeon,Daejeon Daedeok-gu,Daedeok-gu
3690000,6310000,Ulsan,Ulsan Jung-gu,Jung-gu
3700000,6310000,Ulsan,Ulsan Nam-gu,Nam-gu
3710000,6310000,Ulsan,Ulsan Dong-gu,Dong-gu
3720000,6310000,Ulsan,Ulsan Buk-gu,Buk-gu
